"lang"
{
"Language"	"greek"
"[english]portal_lyrics_59"	"to help you."
"portal_lyrics_60"	"Ίσως"
"[english]portal_lyrics_60"	"Maybe "
"portal_lyrics_61"	"η Black"
"[english]portal_lyrics_61"	"Black "
"portal_lyrics_62"	"Mesa"
"[english]portal_lyrics_62"	"Mesa"
"portal_lyrics_63"	"ΑΥΤΟ ΗΤΑΝ ΑΣΤΕΙΟ."
"[english]portal_lyrics_63"	"THAT WAS A JOKE."
"portal_lyrics_64"	"ΜΕΓΑΛΗ"
"[english]portal_lyrics_64"	"FAT "
"portal_lyrics_65"	"ΠΙΘΑΝΟΤΗΤΑ."
"[english]portal_lyrics_65"	"CHANCE."
"portal_lyrics_66"	"Τέλος πάντων"
"[english]portal_lyrics_66"	"Anyway"
"portal_lyrics_67"	", αυτή η τούρτα είναι υπέροχη."
"[english]portal_lyrics_67"	", this cake is great."
"portal_lyrics_68"	"Είναι τόσο νόστιμη και αφράτη."
"[english]portal_lyrics_68"	"It's so delicious and moist."
"portal_lyrics_69"	"Κοίτα με ακόμα μιλάω"
"[english]portal_lyrics_69"	"Look at me still talking"
"portal_lyrics_70"	"όταν υπάρχει ακόμα Επιστήμη να κάνω."
"[english]portal_lyrics_70"	"when there's Science to do."
"portal_lyrics_71"	"Όταν κοιτάω εκεί έξω,"
"[english]portal_lyrics_71"	"When I look out there,"
"portal_lyrics_72"	"Με κάνει χαρούμενη (GLaD) που δεν είμαι εσύ."
"[english]portal_lyrics_72"	"it makes me GLaD I'm not you."
"portal_lyrics_73"	"Έχω πειράματα να τρέξω."
"[english]portal_lyrics_73"	"I've experiments to run."
"portal_lyrics_74"	"Υπάρχει έρευνα που πρέπει να γίνει."
"[english]portal_lyrics_74"	"There is research to be done."
"portal_lyrics_75"	"Στους ανθρώπους που είναι"
"[english]portal_lyrics_75"	"On the people who are"
"portal_lyrics_76"	"ακόμα"
"[english]portal_lyrics_76"	"still "
"portal_lyrics_77"	"ζωντανοί."
"[english]portal_lyrics_77"	"alive."
"portal_lyrics_78"	"Και πίστεψέ με είμαι"
"[english]portal_lyrics_78"	"And believe me I am"
"portal_lyrics_79"	"ακόμα ζωντανή."
"[english]portal_lyrics_79"	"still alive."
"portal_lyrics_80"	"Κάνω επιστήμη και είμαι"
"[english]portal_lyrics_80"	"I'm doing Science and I'm"
"portal_lyrics_81"	"ακόμη ζωντανή."
"[english]portal_lyrics_81"	"still alive."
"portal_lyrics_82"	"Νιώθω ΦΑΝΤΑΣΤΙΚΑ και είμαι"
"[english]portal_lyrics_82"	"I feel FANTASTIC and I'm"
"portal_lyrics_83"	"ακόμη ζωντανή."
"[english]portal_lyrics_83"	"still alive."
"portal_lyrics_84"	"Καθώς θα πεθαίνεις θα είμαι"
"[english]portal_lyrics_84"	"While you're dying I'll be"
"portal_lyrics_85"	"ακόμη ζωντανή."
"[english]portal_lyrics_85"	"still alive."
"portal_lyrics_86"	"Κι όταν είσαι νεκρή θα είμαι"
"[english]portal_lyrics_86"	"And when you're dead I will be"
"portal_lyrics_87"	"ακόμη ζωντανή."
"[english]portal_lyrics_87"	"still alive."
"portal_lyrics_88"	"ΑΚΟΜΗ ΖΩΝΤΑΝΗ"
"[english]portal_lyrics_88"	"STILL ALIVE"
}
}
